,name,rating,reviews,company_details,salaries,interviews,jobs,benefits,rated_for
107,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
108,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
109,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
110,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
111,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
112,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
113,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
114,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
115,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
116,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
117,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
118,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
119,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
120,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
121,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
122,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
123,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
124,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
125,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
126,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
127,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
128,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
129,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
130,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
131,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
132,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
133,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
134,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
135,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
136,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
137,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
138,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
139,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
140,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
141,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
142,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
143,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
144,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
145,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
146,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
147,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
148,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
149,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
150,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
151,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
152,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
153,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
154,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
155,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
156,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
157,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
158,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
159,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
160,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
161,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
162,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
163,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
164,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
165,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
166,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
167,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
168,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
169,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
170,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
171,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
